variete,avec,sans
"ail","betterave, camomille, carotte, céleri, concombre, cornichon, fraise, laitue, sarriette, tomate, pissenlit, pomme de terre","asperge, choux, haricot, pois"
"asperge","artichaut, persil, poireau, pois, tomate, pomme de terre","ail, betterave, oignon"
"aubergine","estragon, haricot, persil, piment, pois, thym, tomate","oignon, pomme de terre"
"Basilic","choux, haricot, tomate",
"bette à carde",oignon,
"betterave","céleri, chou, chou-fleur, chou-rave, laitue, oignon, radis","asperge, carotte, haricot grimpant, tomate"
brocoli,"aneth, capucine, romarin, sauge, fève, céleri, camomille, menthe, oignon, origan, pomme de terre","fraise, laitue, radis"
carotte,"ail, cerfeuil, ciboulette, échalote, épinard, fève, haricot nain, laitue, oignon, panais, persil, poireau, pois, radis, romarin, sauge, tomate","aneth, betterave"
céleri à côtes,"ail, betterave, chou, chou-fleur, concombre, cornichon, courge, épinard, fenouil, haricot nain, poireau, pois, radis, tomate","carotte, maïs, persil"
céleri-rave,"ail, chou, chou-fleur, concombre, cornichon, courge, épinard, fenouil, haricot nain, poireau, pois, pomme de terre, radis, tomate","carotte, maïs, persil"
cerfeuil,"carotte, radis",
chicorée,"chou, chou-fleur, chou-rave, fenouil"
chou-fleur,"aneth, betterave, camomille, capucine, céleri, concombre, cornichon, cresson, fève, haricot nain, menthe, oignon, panais, pois, pomme de terre, radis, sauge, hysope, romarin","chicorée, courgette, pâtisson, fraise, vigne"
chou-rave,"betterave, brocoli, camomille, capucine, concombre, cornichon, fève, haricot nain, laitue, mâche, menthe, panais, pois, romarin, sarriette, sauge, thym, aneth, hysope, oignon, origan, radis","ail, chicorée, échalote, fenouil, fraise, haricot à rames, poireau, tomate, vigne,"
chou,"betterave, brocoli, camomille, capucine, céleri, concombre, cornichon, cresson, fève, haricot nain, laitue, mâche, menthe, panais, pois, pomme de terre, romarin, sarriette, sauge, thym, aneth, hysope, oignon, origan","ail, chicorée, échalote, fenouil, fraise, poireau, radis, vigne"
chou de Bruxelles,"aneth, betterave, capucine, céleri, fève, haricot, laitue, menthe, pomme de terre, romarin, sauge, hysope","fraise, pois, vigne"
citrouille,"fève, maïs, menthe, capucine, radis",pomme de terre
concombre,"aneth, choux, haricot, laitue, maïs, oignon, pois, tournesol, fève, brocoli, céleri, radis","melon, pomme de terre, tomate, sauge"
coriandre,"pomme de terre",
cornichon,"aneth, choux, haricot, laitue, maïs, oignon, pois, tournesol","melon, pomme de terre, tomate"
courge,"basilic, capucine, laitue, maïs, melon, fève, menthe","pomme de terre"
courgette,"radis, menthe, pois, radis, haricots",pomme de terre
epinard,"céleri, choux, fève, fraise, haricot, maïs, poireau, radis, laitue, concombre, pois, aubergine, oignon","betterave, pomme de terre, tomate, poivron"
fenouil,"asperge, céleri, concombre, cornichon, courge, potiron","choux, haricot, pois, tomate"
fève,"ail, carotte, céleri, radis","betterave, pomme de terre"
fraise,"ail, haricot, laitue, oignon, poireau, thym",choux
haricot,"aubergine, carotte, céleri, choux, concombre, cornichon, épinard, laitue, mâche, pomme de terre, sarriette","ail, betterave, échalote, fenouil, oignon"
haricot rame,"aubergine, carotte, céleri, choux, concombre, cornichon, épinard, laitue, maïs, pois senteur, pomme de terre, sarriette","ail, betterave, échalote, fenouil, oignon"
laitue,"artichaut, betterave, carotte, choux, chou-fleur, concombre, cornichon, courge, fraise, oignon, poireau, pois, radis, trèfle","épinard, persil, tournesol"
mâche,poireau,
maïs,"concombre, cornichon, courge, fève, haricot, pois, potiron, tomate","betterave, céleri, laitue, menthe, romarin"
melon,"maïs, tournesol",
menthe,"choux, navet, pois, radis, tomate",
navet,"laitue, menthe, pois, romarin",ail
oignon,"betterave, camomille, carotte, fenouil, fraise, laitue, poireau, sarriette, tomate, chou, pomme de terre","chou, fève, haricot, pois, pomme de terre"
panais,radis,aneth
persil,"poireau, radis, tomate","chou, haricot, laitue, pois"
piment,"aubergine, tomate, basilic, carotte, marjolaine, oignon, origan",fenouil
poireau,"betterave, carotte, céleri, épinard, laitue, oignon, pomme de terre, tomate","choux, haricot, pois, fève, brocoli"
pois,"asperge, aubergine, carotte, céleri, chou, concombre, cornichon, fève, laitue, maïs, navet, radis, épinard, tomate, haricot, courgette, céleri, pomme de terre hâtive, menthe","ail, échalote, oignon, persil, poireau, ciboulette, pommes de terre tardive"
pomme de terre,"capucine, céleri, choux, fève, haricot, pois, raifort, ail, maïs, laitue, oignon, pétunia, œillet d'Inde, radis, potiron, courgette","aubergine, concombre, cornichon, courge, framboisier, oignon, pommier, tomate, tournesol, citrouille, courgette, épinard, potiron"
potiron,"laitue, maïs, melon",pomme de terre
radis,"ail, carotte, cresson, haricot, laitue, persil, pois, tomate, fève, chou, chou-fleur, concombre, courge, courgette","chou, courge, pomme de terre, vigne, hysope"
raifort,pomme de terre,
romarin,"carotte, choux, fenouil, persil, pois, pomme de terre, thym, tomate",
tomate,"aneth, asperge, basilic, carotte, céleri, ciboulette chinoise, maïs, oignon, persil, radis, pois, sauge, poireau, souci, oeillet d'inde (tagète), capucine","betterave, fenouil, haricot, pois, pomme de terre, chou, concombre"
topinambour,pomme de terre,
Tournesol,"concombre, cornichon","laitue, maïs, pomme de terre"
