Fournisseur,Espèce,Variété,Besoin,Gr /graine,Graines/gr,PRIX
LA BONNE GRAINE,AIL,,,,,
VOLTZ,AUBERGINE,BLACK PEARL F1,,,,"21,9"
VOLTZ,AUBERGINE,BALUROI F1,,50GN,,"4,5"
VOLTZ,AUBERGINE,SHAKIRA F1,,50GN,,"16,3"
BIAUGERME,AUBERGINE,De Toulouse,,2g,,
VOLTZ,BASILIC,NUFAR F1,,10G,,"14,05"
VOLTZ,BETTERAVES,KESTREL F1,,5000GN,,"13,5"
VOLTZ,BETTERAVES,CARDEAL F1,,15000GN,,"40,5"
VOLTZ,BROCOLI,BELSTAR F1,,,,
VOLTZ,CAROTTES,NAPOLI F1,,25000GN,,"38,7"
VOLTZ,CAROTTES,STARCA F1,,25000GN,,"38,35"
VOLTZ,CAROTTES,JAUNE DU DOUBS,,25 G,,"9,25"
VOLTZ,CAROTTES,NANTAISE 2 TIP TOP,,25G,,"9,25"
BIAUGERME,CAROTTES,ROUGE SANG LCA052,,20G,,"10,8"
BIAUGERME,CAROTTES,COLMAR,,50G,,"15,7"
VOLTZ,CELERI BRANCHE,GOLDEN SPARTAN NT,,1000GN,,"7,8"
BIAUGERME,CELERI RAVE,MONARCH,,2g,,"8,95"
,CHICOREE SAUVAGE,CHIOGGA,,10 G,,
,CHICOREE SAUVAGE,URANUS PAIN SUCRE,,1000GNE,,
,CHICOREE SCAROLE,NUANCE,,1000GNE,,
,CHICOREE SCAROLE,CUARTANA,,1000GNE,,
VOLTZ,CHOU CABUS,FARAO F1,,,,
VOLTZ,CHOU CABUS,IMPALA F1,,,,
VOLTZ,CHOU CABUS POINTU,CARAFLEX F1,,500GN,,"24,65"
VOLTZ,CHOU CHINOIS ,KABOTO,,1000GN,,"22,95"
VOLTZ,CHOU CHINOIS ,PAK CHOI TAISAI,,10G,,"16,05"
VOLTZ,CHOU CHINOIS ,SANGRIA NT,,10G,,"11,95"
VOLTZ,CHOU DE BRUXELLES,IGOR F1,,,,
VOLTZ,CHOU DE MILAN,CANTASA F1,,,,
VOLTZ,CHOU FLEUR ROMANESCO,VERONICA F1,,,,
BIAUGERME,CHOU FRISE,,,1G,,
VOLTZ,CHOU KALE,RIPBOR,,500GN,,"19,9"
VOLTZ,CHOU RAVE,KORIST F1,,500GN,,"19,8"
VOLTZ,CHOU RAVE,AZUR STAR,,10G,,"27,25"
VOLTZ,CHOU RUTABAGA,HELENOR,,1000GN,,"5,8"
VOLTZ,CONCOMBRE,AKITO F1,,50GN,,"22,8"
VOLTZ,CONCOMBRE,PASSANDRA F1,,100GN,,"24,4"
BIAUGERME,CONCOMBRE,ROLLISON'S TELEGRAPH,,2G,,"9,2"
VOLTZ,COURGE,UCHIKI KURI,,100GN,,"12,4"
VOLTZ,COURGE,CARAT NT,,50GN,,"11,25"
VOLTZ,COURGE,DOUX VERT HOKKAIDO,,100GN,,"12,7"
VOLTZ,COURGE,SWEET DUMPLING,,50GN,,"10,4"
VOLTZ,COURGE,BLEU DE HONGRIE,,50GN,,"10,4"
VOLTZ,COURGE,GALEUSE D'EYSINE,,50GN,,"10,4"
