nom,longueur (m),largeur (m),surface (m2),2018_Légume,2018_Remarque
S1.01,30,"1,2",36,,
S1.02,30,"1,2",36,,
S1.03,30,"1,2",36,,
S1.04,30,"1,2",36,,
S1.05,30,"1,2",36,,
S2.01,30,"1,2",36,,
S2.02,30,"1,2",36,,
S2.03,30,"1,2",36,,
S2.04,30,"1,2",36,,
S2.05,30,"1,2",36,,
S3.01,30,"1,2",36,,
S3.02,30,"1,2",36,,
S3.03,30,"1,2",36,,
S3.04,30,"1,2",36,,
S3.05,30,"1,2",36,,
S4.01,30,"1,2",36,,
S4.02,30,"1,2",36,,
S4.03,30,"1,2",36,,
S4.04,30,"1,2",36,,
S4.05,30,"1,2",36,,
S4.06,30,"1,2",36,,
Est.1,30,"1,2",36,"{E:Courge,D:2/5/2017}",sur bâche
Est.2,30,"1,2",36,"{E :Courge,D:2/5/2017}",
Est.3,30,"1,2",36,"{E :Courge,D:2/5/2017}",
Est.4,30,"1,2",36,"{E :Courge,D:2/5/2017}",
Est.5,30,"1,2",36,"{E :Courge,D:2/5/2017}",
Est.6,30,"1,2",36,"{E:pdt,V:dita,R:1,D:3/5/2017},{E:pdt,V:nicola,R:2,D:4/5/2017}",
Est.7,30,"1,2",36,"{E:betterave,V:crapaudine,R:1,D:9/5/2017}",
Est.8,30,"1,2",36,"{E:feve,V:aguadulce,D:9/5/17,R:1},{E:pois,V:gourmand mangetout,D:9/5/17,R:2}",
Est.9,30,"1,2",36,,
Est.10,30,"1,2",36,,
Est.11,30,"1,2",36,,
Est.12,30,"1,2",36,,
Est.13,30,"1,2",36,,
Est.14,30,"1,2",36,,
Est.15,30,"1,2",36,,
Est.16,30,"1,2",36,,
Est.17,30,"1,2",36,,
Est.18,30,"1,2",36,,
Est.19,30,"1,2",36,,
Est.20,30,"1,2",36,,
Est.21,30,"1,2",36,,
Est.22,30,"1,2",36,,
Est.23,30,"1,2",36,,
Est.24,30,"1,2",36,,
Est.25,30,"1,2",36,,
Est.26,30,"1,2",36,,
Est.27,30,"1,2",36,,
Est.28,30,"1,2",36,,
Est.29,30,"1,2",36,,
Est.30,30,"1,2",36,,
Est.31,30,"1,2",36,,
Est.32,30,"1,2",36,,
Est.33,30,"1,2",36,,
Est.34,30,"1,2",36,,
Est.35,30,"1,2",36,,
Est.36,30,"1,2",36,,
Est.37,30,"1,2",36,,
Est.38,30,"1,2",36,,
Est.39,30,"1,2",36,,
Est.40,30,"1,2",36,,
Est.41,30,"1,2",36,,
Est.42,30,"1,2",36,,
Est.43,30,"1,2",36,,
Est.44,30,"1,2",36,,
Est.45,30,"1,2",36,,
Est.46,30,"1,2",36,,
Est.47,30,"1,2",36,,
Est.48,30,"1,2",36,,
Est.49,30,"1,2",36,,
Est.50,30,"1,2",36,,
Ouest.1,30,"1,2",36,,
Ouest.2,30,"1,2",36,,
Ouest.3,30,"1,2",36,,
Ouest.4,30,"1,2",36,,
Ouest.5,30,"1,2",36,,
Ouest.6,30,"1,2",36,,
Ouest.7,30,"1,2",36,,
Ouest.8,30,"1,2",36,,
Ouest.9,30,"1,2",36,,
Ouest.10,30,"1,2",36,,
Ouest.11,30,"1,2",36,,
Ouest.12,30,"1,2",36,,
Ouest.13,30,"1,2",36,,
Ouest.14,30,"1,2",36,,
Ouest.15,30,"1,2",36,,
Ouest.16,30,"1,2",36,,
Ouest.17,30,"1,2",36,,
Ouest.18,30,"1,2",36,,
Ouest.19,30,"1,2",36,,
Ouest.20,30,"1,2",36,,
Ouest.21,30,"1,2",36,,
Ouest.22,30,"1,2",36,,
Ouest.23,30,"1,2",36,,
Ouest.24,30,"1,2",36,,
Ouest.25,30,"1,2",36,,
Ouest.26,30,"1,2",36,,
Ouest.27,30,"1,2",36,,
Ouest.28,30,"1,2",36,,
Ouest.29,30,"1,2",36,,
Ouest.30,30,"1,2",36,,
Ouest.31,30,"1,2",36,,
Ouest.32,30,"1,2",36,,
Ouest.33,30,"1,2",36,,
Ouest.34,30,"1,2",36,,
Ouest.35,30,"1,2",36,,
Ouest.36,30,"1,2",36,,
Ouest.37,30,"1,2",36,,
Ouest.38,30,"1,2",36,,
Ouest.39,30,"1,2",36,,
Ouest.40,30,"1,2",36,,
Ouest.41,30,"1,2",36,,
Ouest.42,30,"1,2",36,,
Ouest.43,30,"1,2",36,,
Ouest.44,30,"1,2",36,,
Ouest.45,30,"1,2",36,,
Ouest.46,30,"1,2",36,,
Ouest.47,30,"1,2",36,,
Ouest.48,30,"1,2",36,,
Ouest.49,30,"1,2",36,,
Ouest.50,30,"1,2",36,,
Sud.1,30,"1,2",36,,
Sud.2,30,"1,2",36,,
Sud.3,30,"1,2",36,,
Sud.4,30,"1,2",36,,
Sud.5,30,"1,2",36,,
Sud.6,30,"1,2",36,,
Sud.7,30,"1,2",36,,
Sud.8,30,"1,2",36,,
Sud.9,30,"1,2",36,,
Sud.10,30,"1,2",36,,
Sud.11,30,"1,2",36,,
Sud.12,30,"1,2",36,,
Sud.13,30,"1,2",36,,
Sud.14,30,"1,2",36,,
Sud.15,30,"1,2",36,,
Sud.16,30,"1,2",36,,
Sud.17,30,"1,2",36,,
Sud.18,30,"1,2",36,,
Sud.19,30,"1,2",36,,
Sud.20,30,"1,2",36,,
Sud.21,30,"1,2",36,,
Sud.22,30,"1,2",36,,
