variete,famille,date_min_plantation,date_max_plantation,rendement_plants_graines_pourcent,duree_avant_recolte_j,intra_rang_cm,prod_hebdo_moy_g,unite_prod
ail,amaryllidacée,20/03,20/05,80,120,20,"100,100,100",kg
artichaut,astéracée,20/03,20/05,50,100,50,300,u
aubergine,solanacée,20/03,20/05,90,100,60,1,u
betterave,chénopodiacée,20/03,20/05,90,60,25,120,kg
blette,chénopodiacée,,,,,40,"200,200,200",kg
carotte,apiacée,20/03,20/05,75,90,6,45,kg
chou brocoli,brassicacée,20/03,20/05,97,150,60,1,u
chou pointu,brassicacée,,,,,90,1,u
chou fleur,brassicacée,20/03,20/05,95,150,60,1,u
chou de bruxelles,brassicacée,,,60,180,100,,kg
ciboulette,amaryllidacée,20/4,20/5,80,50,25,100,kg
concombre,cucurbitacée,,,80,,150,1,u
cornichon,cucurbitacée,,,84,,100,,kg
courge buternut,cucurbitacée,20/4,20/5,90,180,100,1,u
courge longue de Nice,cucurbitacée,20/4,20/5,90,180,100,1,u
courge potimaron,cucurbitacée,20/4,20/5,85,180,100,1,u
courgette,cucurbitacée,20/4,20/5,85,60,100,1,u
échalotte,amaryllidacée,1/10,1/11,92,180,40,100,kg 
épinard,chénopodiacée,,,,,20,,kg
fève,fabacée ou légumineuse,,,,,30,,kg
haricots verts,fabacée ou légumineuse,,,60,,50,,kg
oignon blanc,amaryllidacée,,,,,40,,kg
poireau,amaryllidacée,,,,,10,,kg
potiron,cucurbitacée,,,,,80,1,u
radis,brassicacée,20/03,20/05,20,10,4,,kg
salade chicorée,astéracée,20/03,20/05,30,20,1,,u
tomate,solanacée,20/03,20/05,80,90,60,,kg
pomme de terre,solanacée,,,80,,30,,kg
thym,lamiacée,,,,,50,,kg
