"Prévisions de production maraîchère, chiffres clés",,
Nombre de paniers,50,
Largeur planche sans passe pieds (cm),100,
Largeur planche avec passe-pieds (cm),140,
coeff avec/sans,"1,4",
surface planche avec passe pieds (m²),42,
Longueur planche standard (m),30,
Nombre de semaines de livraison,48,
Surface totale nécessaire calculée (m²) sans passe-pieds,"7438,76939132838",
Surface totale nécessaire calculée (m²) avec passe-pieds m²,"10414,2771478597",
Nombre de planches utilisées,"247,958979710946",attention pas de superposition pris en compte ici
Poids total à distribuer (kg),"16522,5",
Moyenne par distribution hebdo (kg),"344,21875",
Poids par panier sur l'année (kg),"330,45",
Soit moyenne par panier par semaine (kg),"6,884375",
Somme des ventes (€),45350,
,,
Nombre de mottes,"8836,19978595726",
volume terreau (cm³),"933502,76655009",
volume terreau (L),"933,50276655009",
nb sacs de 70 L (palette de 33 sacs) ,14,
prix terreau (€) klassman 8€/sac,112,
nb sacs de 50 L 4 vaux jardin,19,
prix terreau 4 vaux jardin (€/sac),9,
prix terreau 4 vaux jardin (€),171,
genetic terreau Neuhaus Bio prix unitaire sac 70l,8,
prix terreau genetic (€),112,
,,
Longueur totale de bâche tissée (m),"4145,12494319798",
,,
prix des légumes par panier sur l'année (€),907,
