Espèce,Variété,Fournisseur,Remarque,Délai croissance plants (j),lieu,Date en terre,Localisation,Durée avant récolte (j),Longueur de rang de cette série (m),Date réalisation plants,Date réelle,Date début récolte,Mode de prélèvement,étalement récolte si pas SD (sem),Étalement récolte (sem),à ne pas faire,Date fin récolte,Fin livraison,Nb de séries,Longueur de  rang totale (m),Longueur de  rang par livraison (m),Intra rang (cm),Nombre de rangs retenus,Nb graines à semer par trou,Nombre de trous pour chaque série,Production théorique par trou (kg),Prod. de la série (kg),besoin hebdo (kg),Nb graines par gramme,Poids par graine (g),Nb graines par m,Nombre de graines,Poids de graines (g),Nb mottes/m,Nombre de mottes,Nb trous par plaque,NbPieds/m²,longueur de planche (m),Surface (m²),nb planches,Poids par pièce (g),Conso hebdo par distrib,unité,semaine prépa plants,N° semaine plantation ou semis,01/01/2018,08/01/2018,15/01/2018,22/01/2018,29/01/2018,05/02/2018,12/02/2018,19/02/2018,26/02/2018,05/03/2018,12/03/2018,19/03/2018,26/03/2018,02/04/2018,09/04/2018,16/04/2018,23/04/2018,30/04/2018,07/05/2018,14/05/2018,21/05/2018,28/05/2018,04/06/2018,11/06/2018,18/06/2018,25/06/2018,02/07/2018,09/07/2018,16/07/2018,23/07/2018,30/07/2018,06/08/2018,13/08/2018,20/08/2018,27/08/2018,03/09/2018,10/09/2018,17/09/2018,24/09/2018,01/10/2018,08/10/2018,15/10/2018,22/10/2018,29/10/2018,05/11/2018,12/11/2018,19/11/2018,26/11/2018,03/12/2018,10/12/2018,17/12/2018,24/12/2018,31/12/2018,07/01/2019,14/01/2019,21/01/2019,28/01/2019,04/02/2019,11/02/2019,18/02/2019,25/02/2019,04/03/2019,11/03/2019,18/03/2019,25/03/2019,01/04/2019,08/04/2019,15/04/2019,22/04/2019,29/04/2019,06/05/2019,13/05/2019,20/05/2019,27/05/2019,03/06/2019,10/06/2019,17/06/2019,24/06/2019,01/07/2019,08/07/2019,15/07/2019,22/07/2019,29/07/2019,05/08/2019,12/08/2019,19/08/2019,26/08/2019,02/09/2019,09/09/2019,16/09/2019,23/09/2019
Mâche,Vit,AGROSEMENS,,30,SERRE,02/01/2018,,30/03/1900,"37,9591836734693",03/12/2017,,02/04/2018,SD,,"1,14285714285714",x,09/04/2018,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,48,1,P,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,De 18 jours,AGROSEMENS,,0,SERRE,08/01/2018,,03/03/1900,"25,7439446366782",,,12/03/2018,SD,,"0,999999999999999",x,12/03/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,2,-,P,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roquette,cultivée,AGROSEMENS,,20,SERRE,10/01/2018,,80,"14,7619047619047",21/12/2017,,31/03/2018,SD,,"3,33333333333333",x,21/04/2018,,3,"44,2857142857142","4,42857142857142",15,6,5,"98,4126984126983","0,15","14,7619047619047","0,738095238095237",500,"0,002","37,037037037037","546,737213403879","1,09347442680776","7,40740740740741","109,347442680776",77,40,"2,46031746031746","2,95238095238095","0,0820105820105819",150,"3,54285714285714",kg,51,2,-,P,-,-,-,-,-,-,-,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotte primeur,napoli F1,AGROSEMENS,,0,SERRE,15/01/2018,S4.5 1/2,120,"43,7389770723103",,,15/05/2018,SD,,"2,33333333333333",,29/05/2018,,3,"131,216931216931","18,745275888133",5,5,1,"874,779541446206","0,07","61,2345679012345","2,58333333333333",850,"0,00117647058823529","26,6666666666667","1166,37272192828","1,37220320226856",0,0,0,100,"8,74779541446206","10,4973544973545","0,291593180482069",70,"17,7142857142857",kg,,3,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinard,Matador,AGROSEMENS,,30,SERRE,15/01/2018,,15/03/1900,"30,7539682539683",16/12/2017,,31/03/2018,,8,8,x,26/05/2018,,4,"123,015873015873","12,3015873015873",25,4,3,"123,015873015873","0,4","49,2063492063492","3,69047619047619",100,"0,01","13,3333333333333","410,052910052909","4,10052910052909","4,44444444444444","136,68430335097",77,16,"7,68849206349206","9,22619047619047","0,256283068783069",400,"17,7142857142857",kg,50,3,-,-,P,-,-,-,-,-,-,-,-,-,-,R,R,R,R,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navet,Rose plat de milan,AGROSEMENS,Bottes 4gr/motte. 15 j d'usage de la série ou semoir XY12,0,SERRE,15/02/2018,S3.4 15-30,70,75,,,26/04/2018,SD,,"3,0483870967742",,17/05/2018,,6,"246,031746031746","24,6031746031746",5,6,1,1500,"0,05",75,"3,69047619047619",600,"0,00166666666666667",25,1875,"3,125",0,0,0,120,"12,5",15,"0,416666666666667",50,"17,7142857142857",kg,,7,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdt primeur,Margod,PAYZONSFERME,8°C min. 28/40,0,CHAMP,26/02/2018,,90,60,,,27/05/2018,SD,,"2,13387096774194",,10/06/2018,10/06/2018,3,"168,707482993197","28,1179138321995",30,2,1,200,"0,21",42,"2,21428571428571","0,022","45,4545454545455","3,33333333333333",200,"9090,90909090909",0,0,0,"6,66666666666667",30,36,1,70,"17,7142857142857",kg,,9,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,Pernot clair,AGROSEMENS,,0,SERRE,23/01/2018,,56,"25,7439446366782",,,20/03/2018,SD,,"0,999999999999999",x,20/03/2018,20/03/2018,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,4,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betterave botte,rouge cylindra,GERMINANCE,pour botte en motte,56,SERRE,01/02/2018,S4.3 partiel,105,"66,4285714285715",07/12/2017,,17/05/2018,SD,,2,x,31/05/2018,31/05/2018,2,"132,857142857143","33,2142857142857",30,4,1,"221,428571428571","0,15","33,2142857142857","1,10714285714286",60,"0,0166666666666667","3,7037037037037","246,031746031746","4,1005291005291","3,7037037037037","246,031746031746",0,"13,3333333333333","16,6071428571429","19,9285714285714","0,553571428571429",50,"13,2857142857143",kg,49,5,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotte primeur,napoli F1,AGROSEMENS,,0,SERRE,02/02/2018,S4.5 2/2,120,"43,7389770723103",,,02/06/2018,SD,,"2,33333333333333",,16/06/2018,16/06/2018,3,"131,216931216931","18,745275888133",5,5,1,"874,779541446206","0,07","61,2345679012345","2,58333333333333",850,"0,00117647058823529","26,6666666666667","1166,37272192828","1,37220320226856",0,0,0,100,"8,74779541446206","10,4973544973545","0,291593180482069",70,"17,7142857142857",kg,,5,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
