SEMIS SERRE VERRE REALISES 2015,,,,,,janvier,,,,,février,,,,mars,,,,avril,,,,,mai,,,,,juin,,,,juillet,,,,aout,,,,septembre,,,,octobre,,,,,novembre,,,,décembre,,,,,
ESPECE,VARIETE,frs,prod,Q,surf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,
ARTICHAUD,IMPERIAL STAR,,,50,PC,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBERGINE,BALUROI,V,,35,S,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535
AUBERGINE,DE TOULOUSE,V,,62,S,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBERGINE,BLACK BEAUTY,,,35,S,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBERGINE,BLACK PEARL F1,,,54,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBERGINE,SHAKIRA,,,35,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASILIC,TERRINE ,,MAI,80,S,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASILIC, BONNE LEVEE,,,150,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELERI RAVE,MONARCH ,V,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELERI BRANCHE,TALUTA 1 caisse,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,,120,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,OCT,240,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE ,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
CHICOREE SCAROLE,NUANCE,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
