Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Ail,blanc messidor,labonnegraine,0,10/10/2016,150,60,-,09/03/2017,08/05/2017,60,"210,526315789474","21,0526315789474",4,20,300,"5,55555555555556","333,333333333334","0,05",20,"6666,66666666667",CHAMP,
Ail,rose flavor bio,labonnegraine,0,14/03/2016,150,15,-,11/08/2016,26/08/2016,150,"210,526315789474","21,0526315789474",4,20,750,"5,55555555555556","833,333333333334","0,05",20,"16666,6666666667",CHAMP,
Aubergine,impérial black beauty,,30,15/04/2016,150,120,16/03/2016,12/09/2016,10/01/2017,50,105,"7,5","2,4",50,100,"4,44444444444444","222,222222222222",240,"0,00416666666666667","0,925925925925925",SERRE,
Aubergine,ronde de valence,,30,15/04/2016,150,120,16/03/2016,12/09/2016,10/01/2017,50,105,"7,5","2,4",50,100,"4,44444444444444","222,222222222222",240,"0,00416666666666667","0,925925925925925",SERRE,
Betterave rouge,plate d'Egypte,,30,01/03/2016,124,21,31/01/2016,03/07/2016,24/07/2016,250,"833,333333333333","55,5555555555555",4,10,2500,"11,1111111111111","2777,77777777777",60,"0,0166666666666667","46,2962962962963",SERRE,
Betterave rouge,crapaudine,,30,15/05/2016,180,60,15/04/2016,11/11/2016,10/01/2017,300,"833,333333333333","55,5555555555555",4,10,3000,"11,1111111111111","3333,33333333333",60,"0,0166666666666667","55,5555555555555",CHAMP,
Betterave rouge,rouge cylindra,,30,15/05/2016,180,60,15/04/2016,11/11/2016,10/01/2017,300,"833,333333333333","55,5555555555555",4,10,3000,"11,1111111111111","3333,33333333333",60,"0,0166666666666667","55,5555555555555",CHAMP,
Blette,verte à carde blanche 2,,33,18/04/2016,75,60,16/03/2016,02/07/2016,31/08/2016,120,125,"10,4166666666667",3,40,300,"2,77777777777778","333,333333333334",60,"0,0166666666666667","5,55555555555556",CHAMP,
Chou rutabaga,Helenor,,30,19/04/2016,80,21,20/03/2016,08/07/2016,29/07/2016,100,"88,8888888888889","29,6296296296296","2,4",50,200,"2,22222222222222","222,222222222222",,#DIV/0 !,#DIV/0 !,CHAMP,
Brocoli,Calinaro,,30,20/06/2016,50,21,21/05/2016,09/08/2016,30/08/2016,100,"53,5714285714286","17,8571428571429","1,71428571428571",50,200,"2,22222222222222","222,222222222222",,#DIV/0 !,#DIV/0 !,CHAMP,
Carotte de garde,Robila,,0,30/06/2016,150,7,-,27/11/2016,04/12/2016,400,"1111,11111111111","55,5555555555556",6,5,8000,"22,2222222222222","8888,88888888888",850,"0,00117647058823529","10,4575163398693",CHAMP,
Carotte de garde,rothild,,0,30/06/2016,150,7,-,27/11/2016,04/12/2016,400,"1111,11111111111","55,5555555555556",6,5,8000,"22,2222222222222","8888,88888888888",850,"0,00117647058823529","10,4575163398693",CHAMP,
Carotte de garde,Nantaise 2,,0,30/06/2016,150,8,-,27/11/2016,05/12/2016,400,"1111,11111111111","55,5555555555556",6,5,8000,"22,2222222222222","8888,88888888888",850,"0,00117647058823529","10,4575163398693",CHAMP,
Carotte primeur,Marché de Paris 3,,0,15/01/2016,89,14,-,13/04/2016,27/04/2016,270,"510,204081632653","85,0340136054422",8,3,9000,"37,037037037037","9999,99999999999",850,"0,00117647058823529","11,7647058823529",SERRE,
