Nombre de paniers,Légume,Famille,avec,Période de distribution,Nombre de distributions,Qté par distrib par personne,Qté sortie par distrib,Total par personne,Total à distribuer,Unité,poids estimé par pièce (g),Poids total à distribuer (kg),prix/kg biocoop (€),montant sur l'année (€),montant sur l'année par panier (€),Reste année N-1 (kg),Rendement conservation,Total à  produire (kg),Rendement (kg/m²),Surface théorique nécessaire selon rendement (m²),Intra rang (cm),Inter rang (cm),surface moyenne unitaire selon inter/intra rang (m²),nb/m²,Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nb pieds,Rendt graines (%),Nb graines-plants par pied,Nombre de graines,Nb graines par m,Nombre de rangs max,Nombre de rangs retenus,Longueur de planche nécessaire (m),nb de planches de 50m,Période de rotation (année),,04/01/2016,11/01/2016,18/01/2016,25/01/2016,01/02/2016,08/02/2016,15/02/2016,22/02/2016,29/02/2016,07/03/2016,14/03/2016,21/03/2016,28/03/2016,04/04/2016,11/04/2016,18/04/2016,25/04/2016,02/05/2016,09/05/2016,16/05/2016,23/05/2016,30/05/2016,06/06/2016,13/06/2016,20/06/2016,27/06/2016,04/07/2016,11/07/2016,18/07/2016,25/07/2016,01/08/2016,08/08/2016,15/08/2016,22/08/2016,29/08/2016,05/09/2016,12/09/2016,19/09/2016,26/09/2016,03/10/2016,10/10/2016,17/10/2016,24/10/2016,31/10/2016,07/11/2016,14/11/2016,21/11/2016,28/11/2016,05/12/2016,12/12/2016,19/12/2016,26/12/2016,Prélevé (kg),reste en fin d'année (kg)
30,Ail,amaryllidacée,,juil / avril,10,1,30,10,300,pièce,80,24,10,240,8,0,"0,95","25,2631578947368","0,5","50,5263157894737",20,20,"0,04",25,"252,631578947368","25,2631578947368","1263,15789473684","0,9",1,"1403,50877192982","5,55555555555555",5,4,"63,1578947368421","1,26315789473684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Aubergine,solanacée,"laitue, radis",juil / oct,14,1,30,14,420,pièce,600,252,"3,5",882,"29,4",0,1,252,4,63,50,50,"0,25",4,126,9,252,"0,9",1,280,"2,22222222222222",2,2,63,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Betterave rouge,chénopodiacée,,janv / dec,15,1,30,15,450,kg,,450,2,900,30,0,"0,9",500,"2,5",200,10,20,"0,02",50,1000,"66,6666666666667",10000,"0,9",1,"11111,1111111111","11,1111111111111",5,4,250,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Brocoli,brassicacée,,juil / nov,3,1,0,3,0,pièce,500,0,2,0,0,0,1,0,"0,7",0,50,70,"0,35","2,85714285714286",0,0,0,"0,9",1,0,#DIV/0 !,"1,42857142857143","1,42857142857143",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Carotte primeur,apiacée,,avril / mai,6,1,30,6,180,kg,,180,3,540,18,0,"0,98","183,673469387755",2,"91,8367346938776",3,10,"0,003","333,333333333333","918,367346938776","153,061224489796","30612,2448979592","0,9",1,"34013,6054421769","37,037037037037",10,10,"91,8367346938776","1,83673469387755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Carotte saison,apiacée,,juin / sept,4,1,30,4,120,kg,,120,2,240,8,0,"0,98","122,448979591837","2,5","48,9795918367347",5,10,"0,005",200,"489,795918367347","122,448979591837","9795,91836734694","0,9",1,"10884,3537414966","22,2222222222222",10,8,"61,2244897959184","1,22448979591837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Carotte conservation,apiacée,,oct / avril,20,1,30,20,600,kg,,600,2,1200,40,0,"0,9","666,666666666667","2,5","266,666666666667",5,10,"0,005",200,"2666,66666666667","133,333333333333","53333,3333333333","0,9",1,"59259,2592592592","22,2222222222222",10,8,"333,333333333333","6,66666666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,360,"306,666666666667"
30,Céleri branche,apiacée,"oignon, chou",juin / oct,2,1,30,2,60,pièce,500,30,3,90,3,0,1,30,4,"7,5",40,50,"0,2",5,15,"7,5","37,5","0,9",1,"41,6666666666667","2,77777777777778",2,2,"7,5","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Céleri rave,apiacée,,oct / avril,4,1,30,4,120,pièce,1200,144,3,432,"14,4",0,"0,9",160,"2,5",64,40,50,"0,2",5,128,32,320,"0,9",1,"355,555555555556","2,77777777777778",2,2,64,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ciboule,amaryllidacée,,nov/avril,5,"0,3",9,"1,5",45,kg,150,45,4,180,6,0,1,45,"3,5","12,8571428571429",5,10,"0,005",200,"128,571428571429","25,7142857142857","2571,42857142857","0,9",3,"8571,42857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
